Nome_do_Produto,Categoria_do_Produto,Descricao_Completa,ICP_Ideal_Customer_Profile,Para_quem_serve,Como_entregar_valor
Implementação de E-commerce - Pro,TER,"Desenvolvimento de loja online no modelo E-commerce Pro. O projeto contempla a personalização visual e estrutural do tema adquirido, incluindo adaptações parciais de layout e ajustes na estrutura das páginas principais (como Home, Página de Produto e Página de Categoria), além da criação de até 3 (três) blocos personalizados dentro do tema. Inclui ainda o cadastro de até 5 (cinco) produtos com suas respectivas descrições, imagens e preços, bem como a configuração completa da loja virtual, incluindo meios de pagamento, frete e domínios. Ao final do projeto, será entregue: 1 (uma) loja virtual configurada (E-commerce Pro) na plataforma selecionada, com 1 (uma) personalização estrutural intermediária do tema, até 3 (três) blocos personalizados desenvolvidos e todas as configurações essenciais ativas.","Pequenas e Médias Empresas (PMEs) cujo Job To Be Done é estruturar uma loja profissional com alta velocidade e rastreamento preciso para parar de perder dinheiro em anúncios e escalar com dados reais. O ICP já tentou alternativas frustrantes, como aumentar a verba de mídia para compensar uma conversão ruim ou usar plataformas gratuitas sem suporte a integrações logísticas robustas. Este cliente entende que estética não basta; ele busca performance de vendas e está disposto a assumir os custos de ferramentas de elite (como Shopify e Bling) porque necessita de um ecossistema escalável e integrado que suporte o crescimento tracionado por mídia.","O produto serve fundamentalmente para dois perfis de decisores (Donos de PMEs ou Gestores de Marketing): O Anunciante Frustrado: Empresas que já investem entre R$ 5k e R$ 20k mensais em tráfego pago, mas possuem uma infraestrutura precária. Essa persona sofre com a ""cegueira de dados"" (não sabe qual campanha converte) e sente enorme dor ao ver o tráfego subir enquanto o checkout permanece vazio devido a lentidão, falhas de UX ou meios de pagamento limitados. O Iniciante Estratégico: Empreendedores digitalizando marcas físicas ou lançando novos projetos que têm pavor do ""amadorismo"". Eles ainda não investem em mídia pois temem que, ao realizar as primeiras vendas para desconhecidos, a operação logística manual (faturar e expedir dezenas de pedidos) entre em colapso. Eles valorizam fazer o certo de primeira.","O valor é entregue ao transformar a tecnologia, de um gargalo, para um acelerador de vendas. O impacto direto (Impact - SPICED) para operações ativas é o aumento imediato do ROAS, gerado pela melhoria da taxa de conversão (com UX otimizada e velocidade) e pela clareza matemática que o GA4 e os Pixels oferecem para escalar orçamentos com segurança. O valor também se consolida na eficiência operacional: ao entregar uma integração fluida com o ERP Bling, eliminamos o tempo perdido com inserção manual de pedidos e erros de ruptura de estoque. Intangivelmente, entregamos previsibilidade e a independência comercial de possuir um canal próprio rodando de forma profissional e autônoma, 24 horas por dia."
Destrava Receita - Raio-X,DESTRAVA RECEITA,"Solução de consultoria focada em Diagnóstico e Visão empresarial. Desenvolvido especificamente para empresas que buscam identificar e sanar travas críticas em sua operação antes de realizar novos aportes ou investimentos. Por meio de uma análise técnica detalhada, a consultoria oferece clareza sobre os gargalos que impedem a escala do faturamento, sendo indicada para negócios que ainda não possuem indicadores consolidados ou visibilidade clara sobre o que otimizar para maximizar a receita. O serviço é executado sob o formato de Projeto, com duração estimada de 45 dias, sendo conduzido tecnicamente pela Unidade Franqueada.","O DR-X é entregue ao longo de 45 dias como uma progressão de estados cognitivos: Cura da cegueira operacional; Estruturação do sistema; Diagnóstico formal da trava; Construção da nova regra; Planejamento de transição. Cada etapa só avança quando a incerteza correta foi eliminada, a lógica foi validada e o cliente compreende o racional. O consultor não atua como executor. Atua como guardião da lógica.","Perfil 1 - Empreendedor Operacional (Baixa Maturidade): Fatura, mas não entende sua máquina de receita. Toma decisões baseadas em intuição. Já investiu em marketing sem clareza de ROI. Sente insegurança financeira recorrente. Perfil 2 - Head de GTM / Marketing (Alta Maturidade): Possui CRM, BI e time estruturado. Investe alto em mídia. Enfrenta estagnação de crescimento. Sente que o sistema ficou pesado. Precisa validar ou quebrar crenças internas. Ambos compartilham um problema: Não sabem onde está a restrição real do sistema.","O valor do DR-X é entregue quando a empresa para de atacar múltiplas frentes simultaneamente, o investimento passa a ser concentrado na restrição ativa, o CAC deixa de crescer por tentativa aleatória e a margem deixa de ser corroída por decisões mal fundamentadas. Impactos esperados: Aumento de throughput, redução de desperdício estrutural, maior previsibilidade de crescimento, economia de capital e clareza estratégica permanente. O maior ROI não é operacional — é cognitivo."
Implementação de Réguas de Relacionamento - Régua de Engajamento (News/Pesquisa),TER,"Implementação de Réguas de Relacionamento - Engajamento (News/Pesquisa). Entrega a implementação de uma régua automatizada de engajamento e relacionamento com a base, incluindo desenho da jornada de conteúdo e pesquisa, criação de copies para comunicações recorrentes e formulários de feedback (NPS/pesquisas), integração entre CRM/ERP e automação, configuração de gatilhos periódicos e condicionais, templates de comunicação e mecanismos de alerta para respostas críticas. As tarefas recorrentes estruturam um sistema contínuo de relacionamento, retenção e geração de insights estratégicos.","O ICP abrange empresas que possuem uma base ativa de clientes centralizada (em um ERP ou CRM higienizado), mas que apresentam uma gestão de relacionamento manual que se tornou um gargalo de escala. O cenário típico envolve comunicações unidirecionais, pesquisas de satisfação ineficientes e uma dependência perigosa da memória dos vendedores para realizar o pós-venda.","Serve perfeitamente para Gerentes de Customer Success (CS), Gerentes de Marketing, Gestores Comerciais ou de Atendimento. Essa persona é cobrada por métricas de retenção e Lifetime Value (LTV), mas sente-se ansiosa por voar às cegas sem dados consolidados sobre o real nível de satisfação da base. Sofrem ao ver suas equipes sobrecarregadas perdendo horas produtivas enviando mensagens manuais ou tentando organizar planilhas dispersas de feedback.","O valor é entregue ao transformar uma operação artesanal em um processo escalável e profissionalizado. Frente Defensiva: Cria um sistema de alerta automático para clientes detratores, permitindo que a equipe aja rapidamente para reverter cancelamentos antes que o churn ocorra. Frente Operacional/Estratégica: Libera o tempo humano da equipe de CS e Vendas para focar em contas estratégicas e upsell. O gestor ganha a paz mental de saber que 100% da sua base está sendo nutrida sistematicamente, aumentando o LTV e valorizando a marca perante o mercado."
Auditoria técnica das campanhas (Google Ads) - Até R$10 mil,DESTRAVA RECEITA,"Auditoria Técnica das Campanhas - Google Ads (investimento até R$10 mil). Entrega um diagnóstico técnico da conta de Google Ads com validação de acessos e vinculações (Google Ads, GA4 e conversões), análise da estrutura das campanhas ativas (Search, Shopping, Performance Max e Display), auditoria de palavras-chave, termos de busca, negativas e tipos de correspondência, além da verificação das estratégias de lance e configuração de conversões. Resulta na identificação clara de falhas na captura de intenção e em um plano de ação priorizado para corrigir distorções básicas do sistema.","Pequenas e Médias Empresas (PMEs) com investimento mensal em Google Ads de até R$ 10.000,00. A conta apresenta desorganização estrutural severa, misturando redes sem negativação eficiente, resultando em CPA alto e volátil. Há falhas críticas em tags que impedem o algoritmo de aprender. Job To Be Done: quando percebe que o Google Ads consome o orçamento sem gerar o volume de leads esperado, quer identificar se está desperdiçando dinheiro com cliques ruins, para parar a sangria de caixa e voltar a investir com segurança.","Serve para o Empreendedor ""Faça-Você-Mesmo"" ou para o Gerente de Marketing Generalista que gerencia uma verba mensal entre R$ 5k e R$ 10k. A conta é gerenciada internamente ou por um freelancer júnior. O cliente frequentemente não tem certeza se os leads no CRM vieram das campanhas ou do orgânico devido a falhas de rastreamento. A principal queixa é a ineficiência financeira: ""Gasto muito e vendo pouco"".","O valor é entregue transformando uma caixa preta de gastos em um plano de segurança financeira. Impacto Financeiro: cessa o desperdício imediato de caixa causado por cliques ruins e configurações erradas, demonstrando que não auditar significa continuar perdendo margem de lucro mensalmente. Clareza Estratégica: ao revelar exatamente onde o dinheiro está sendo queimado, permite que o cliente pare a sangria e volte a investir com segurança, validando se o problema é o canal de aquisição ou a oferta/produto."
Auditoria técnica das campanhas (Meta Ads) - Até 10 mil,DESTRAVA RECEITA,"Auditoria técnica das campanhas - Meta Ads (investimento até R$10 mil). Entrega um diagnóstico técnico da conta de anúncios com validação de acessos, análise da estrutura de campanhas, conjuntos e anúncios, verificação dos objetivos utilizados e do funil aplicado, avaliação da configuração de públicos e checagem de Pixel e eventos de conversão. Resulta na identificação clara da principal restrição técnica do sistema e em um plano de ação priorizado para estabilizar a entrega e reduzir desperdícios.","Empresas investindo até R$ 10 mil/mês, vivendo a ""Crise da Profissionalização"". A conta cresceu de forma orgânica e desordenada; há dúvidas se as conversões marcadas são reais e o desperdício começa a doer na margem. O cliente quer uma revisão técnica completa para saber se seu motor aguenta acelerar, garantindo que não está queimando caixa em configurações amadoras. Já trocou de freelancer achando que o problema era a pessoa, ou comprou cursos que não teve tempo de aplicar.","PMEs com operação ativa buscando performance inicial e profissionalização. A persona típica é o Dono ""Hands-on"" ou o Gestor de Marketing ""Faz-Tudo"". O cliente investe até R$ 10k, mas sente que o resultado é fruto de sorte. Tem insegurança técnica e medo de aumentar o investimento e apenas elevar o custo sem retorno. Precisa saber se o motor aguenta acelerar antes de colocar mais combustível.","O valor é entregue ao fornecer segurança e previsibilidade. A auditoria funciona como um alvará para o crescimento, permitindo que o cliente tenha confiança técnica para aprovar aumentos de budget. Identifica se a restrição é realmente técnica - se a estrutura for corrigida, o cliente para de desperdiçar recursos em métricas de vaidade e foca na verdadeira restrição. Garante que cada real dos R$ 10 mil investidos está sendo rastreado, eliminando o desperdício em públicos sobrepostos ou configurações amadoras."
Auditoria técnica de Criativos Ads & Mensagens,DESTRAVA RECEITA,"Auditoria Técnica de Criativos Ads & Mensagens. Entrega um diagnóstico técnico completo do sistema de comunicação dos anúncios, incluindo coleta e validação de acessos às bibliotecas de criativos, auditoria de instrumentação (UTMs e tags), extração e análise de métricas de atenção (CTR, Hook Rate, CPC e tempo de visualização), mapeamento dos criativos por ângulos de comunicação (racional, emocional e prova), auditoria de headlines e hooks, análise técnica de performance visual e design, verificação de alinhamento entre mensagem e ambiente de conversão. Resulta em diagnóstico claro da restrição de atenção, framework de mensagem principal, wireframe base para novos testes e plano de quick-wins estratégicos.","Head de Growth ou CMO de empresas em fase de escala ou reestruturação. O cliente possui histórico de dados (contas ativas há tempo), mas sofre com CPA alto, saturação rápida de anúncios e incerteza técnica sobre a instrumentação. O cenário é de ""muito esforço, pouco aprendizado"". Quer uma auditoria para revelar onde está o gargalo de atenção (instrumentação, gancho visual ou copy) para parar de depender da sorte e escalar apenas o que foi validado tecnicamente.","Ideal para operações com investimento superior a R$ 10 mil mensais que enfrentam o cenário de ""Operação Cega"" - alto volume de atividade sem direção estratégica. Clientes com inchaço operacional, mantendo muitos criativos ativos sem saber qual traz retorno real. Heads de Growth cobrados por ROI/ROAS que valorizam tecnicidade, ou CMOs que precisam retomar o controle da narrativa da marca.","O valor central é a transição do caos para o sistema, gerando eficiência financeira e operacional. Financeiro: estanca o desperdício de verba ao identificar e pausar criativos que não performam. Operacional: reduz o tempo gasto pela equipe corrigindo erros e produzindo no escuro, entregando um padrão documentado (Framework) que tira a dependência da sorte. Estratégico: proporciona paz e controle aos gestores, entregando argumentos baseados em dados para justificar investimentos e apontar exatamente quais torneiras fechar."
Auditoria Técnica de Redes Sociais - Até 2 Redes Sociais,DESTRAVA RECEITA,"Auditoria Técnica de Redes Sociais (até 2 redes sociais). Entrega um diagnóstico técnico do sistema de presença orgânica em até duas redes sociais, incluindo validação de acessos e ferramentas, análise de concorrência e benchmarking, estudo da jornada e comportamento do público, social listening, coleta e análise de métricas de alcance, engajamento e crescimento, avaliação da identidade visual, diagnóstico de tom de voz e estilo textual, análise do funil de conteúdo (atração, consideração e conversão). Resulta na identificação clara da restrição de atenção recorrente e em um plano de ação com quick-wins para estabilizar a distribuição orgânica.","Empresas (PMEs ou negócios estabelecidos) que já possuem atividade nas redes sociais (de 2 a 5 canais ativos), mas enfrentam o problema de ""Atividade sem Produtividade"". Utilizam ferramentas (ex: Mlabs, RD Station), postam com frequência, mas o crescimento é errático e dependente de viralização ou esforço manual excessivo. Buscam profissionalizar a gestão para parar de desperdiçar orçamento ou para organizar a casa visando delegar a função com segurança.","Serve a dois perfis: O Gerente de Marketing Frustrado, cobrado por ROI e vendas, mas que recebe apenas relatórios de likes de sua equipe ou agência; e o Fundador Centralizador, que construiu a marca intuitivamente e sofre com sobrecarga operacional, com medo de que ao delegar a comunicação perca a alma do negócio. Ambos precisam de segurança e processos para escalar ou delegar a operação.","O valor é entregue ao transformar uma operação frágil e intuitiva em uma gestão profissional, segura e escalável. Financeiramente: estanca o desperdício de verba em impulsionamentos que não convertem e reduz o CPL ao identificar a causa raiz da estagnação. Na Gestão: entrega segurança técnica e qualidade de vida ao fundador, permitindo a delegação através de processos documentados. Estratégicamente: habilita decisões futuras de escala, fornecendo evidências numéricas para aprovação de orçamentos robustos e evitando o ciclo de contrata e demite por falta de clareza."
Auditoria técnica de ambientes (CRO / SEO) Inside Sales - Até 1 Página,DESTRAVA RECEITA,"Auditoria Técnica de Ambientes (CRO / SEO) - Inside Sales (até 1 página). Entrega um diagnóstico técnico completo do ambiente digital auditado, incluindo validação de acessos e instrumentação (GA4, GTM e ferramentas de comportamento), verificação de indexação e rastreamento, análise comparativa de concorrentes, extração de métricas de conversão e engajamento, auditoria técnica de SEO (Core Web Vitals, PageSpeed, erros críticos e SEO on-page) e diagnóstico de CRO com foco em usabilidade, narrativa, hierarquia de informação, formulários e CTAs. Resulta na identificação clara da restrição de interesse e em um plano de ação priorizado com quick-wins.","Empresas que possuem ativos digitais ativos (Site, Landing Pages) e ferramentas instaladas (GA4, GTM), geralmente com investimento em mídia superior a R$ 20k/mês, mas que enfrentam estagnação. Sintomas: leads caros, discrepância de dados entre plataformas, taxa de rejeição alta, ou atrito entre equipes de Marketing e TI. Estão na fase de ""Saber"" - têm as ferramentas, mas desconhecem se operam a favor da estratégia.","Serve a dois perfis: Head de Growth ou Gerente de Marketing, pressionado por metas de eficiência e CAC, que sente a dor de ver o tráfego chegar ao site e vazar sem conversão; e Diretor Comercial ou Founder, que busca governança e precisa saber se os números de retorno são confiáveis antes de escalar investimentos. O cliente ideal já possui ativos digitais e investimento em mídia recorrente, mas vive a frustração de um teto de vidro na conversão.","A entrega de valor se dá pela transformação de um cenário de insegurança técnica em previsibilidade financeira. Elimina o desperdício de verba identificando barreiras invisíveis que queimam o investimento de mídia. Estabelece Governança (Single Source of Truth): valida a instrumentação para que Marketing e Vendas olhem para os mesmos números. Habilita o Crescimento: responde se a casa está pronta para receber mais visitas, evitando que grandes orçamentos sejam comprometidos em estruturas frágeis."
Auditoria técnica de CRM Marketing,DESTRAVA RECEITA,"Auditoria Técnica de CRM Marketing. Entrega um diagnóstico técnico completo do sistema de CRM Marketing, incluindo coleta e validação de acessos à ferramenta e canais integrados, análise da qualidade da base de dados (campos, duplicidades, origem e preenchimento), segmentação da base por estágio do ciclo de vida e mapeamento de todas as automações ativas. Abrange auditoria das réguas de aquisição, engajamento, recompra e recuperação, com avaliação de gatilhos, cadência, lógica de progressão, SLAs e relevância das comunicações. Resulta na identificação da restrição de retenção sistêmica e plano de ação priorizado.","Empresas com bases de dados consolidadas (geralmente acima de 50k contatos) e ferramentas de CRM contratadas (HubSpot, Salesforce, ActiveCampaign, etc.). Sintomas: CAC crescente, margens espremidas e dependência quase exclusiva de novos leads para bater a meta de receita. Gestores que já perceberam que o modelo de comprar clientes novos todo mês está se tornando insustentável e buscam rentabilizar a base instalada.","Serve para empresas com operações de vendas ativas e ferramentas robustas (como HubSpot, Salesforce ou RD Station), mas com estrutura ineficiente. Perfil do Gestor: Head de Marketing ou Growth que sente que tem uma Ferrari andando a 20km/h. Empresas com bases superiores a 50 mil contatos, mas com taxas de abertura de e-mail pífias. São empresas que vendem bem, mas não retêm, dependendo excessivamente de tráfego pago enquanto a base de clientes antigos morre em silêncio.","A Auditoria entrega valor ao transformar custos invisíveis em oportunidades de receita líquida. Impacto Financeiro: evidencia onde o orçamento está sendo desperdiçado e identifica a receita gratuita escondida na base inativa, com potencial de aumentar o LTV em até 30% sem investimento adicional em mídia paga. Impacto Estratégico: devolve a credibilidade técnica à operação, permitindo que a diretoria enxergue o CRM como investimento estratégico. Eficiência Operacional: habilita decisões de interrupção de ações que não geram retorno e priorização de segmentos."
Implementação de Site - Basic,TER,"Desenvolvimento de site institucional estratégico, com design atrativo e responsivo, otimizado para diferentes dispositivos e navegadores. O projeto inclui copywriting persuasivo com foco em conversão, configuração para alta performance de carregamento e indexação, integração com ferramentas de analytics (GA4, GTM) e pixels de mídia. Ao final do projeto, será entregue: 1 (um) site institucional publicado em WordPress, com design responsivo, copywriting persuasivo, ecossistema de dados configurado e handoff documentado.","PMEs (Pequenas e Médias Empresas) onde os decisores (Founders ou Heads de Marketing) possuem como Jobs to be Done: Converter Tráfego (querem site rápido e instrumentado para converter visitas em leads) ou Transmitir Confiança (querem site moderno e seguro para transmitir profissionalismo). Enfrentam conversão baixa por sites lentos/confusos ou perdem negócios por falta de credibilidade digital. Estão prestes a escalar investimento em mídia ou enfrentam um evento crítico (lançamento, auditoria, captação).","Atende PMEs em crescimento em dois cenários: Foco em Performance (Marketing/Growth), empresas que já investem ou planejam investir em mídia paga e SEO, mas cujos sites são lentos e sem instrumentação de dados; e Foco em Credibilidade (Founder/Comercial), empresas cuja ausência de site profissional gera desconfiança em prospects, parceiros e investidores, gerando constrangimento e perda de oportunidades estratégicas.","A entrega de valor ocorre em duas frentes simultâneas. Impacto Racional (Performance): o cliente ganha um ativo que permite a redução do CPL e CAC através de melhor usabilidade e velocidade. A implementação de telemetria (GA4/GTM) transforma o marketing de intuição para decisão baseada em dados. Impacto Emocional (Credibilidade): elimina a insegurança e o constrangimento da equipe comercial. O cliente passa a sentir orgulho de apresentar sua marca, fortalecendo sua autoridade em negociações e rodadas de investimento."
